1,1,5,edge
2,6,14,edge
3,15,16,edge
4,17,19,edge
5,20,21,edge
6,22,30,edge
7,31,35,edge
8,36,40,edge
9,41,42,edge
10,43,47,edge
11.01,48,50,edge
11.02,51,54,edge
11.04,55,58,edge
11.06,59,62,edge
11.08,63,66,edge
11.1,67,70,edge
11.11,71,74,edge
12.01,75,78,edge
12.02,79,82,edge
12.03,83,86,edge
12.04,87,90,edge
12.05,91,94,edge
13.01,95,97,edge
13.02,98,101,edge
13.03,102,105,edge
13.04,106,109,edge
13.05,110,113,edge
14.01,114,116,edge
14.02,117,120,edge
14.03,121,124,edge
14.04,125,128,edge
14.05,129,132,edge
14.06,133,136,edge
14.07,137,140,edge
14.08,141,144,edge
14.09,145,150,edge
15.01,151,153,edge
15.02,154,157,edge
15.03,158,161,edge
15.04,162,165,edge
15.05,166,169,edge
15.06,170,173,edge
15.07,174,177,edge
15.08,178,181,edge
15.09,182,184,edge
15.1,185,188,edge
16,189,191,edge
17,192,194,edge
18,195,211,corner
19,212,221,corner
20,222,231,corner